Artist,Song title,Popularity Score,Lyrics
John Denver,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",64,"All my bags are packed, I'm ready to go
I'm standing here outside your door
I hate to wake you up to say, ""Goodbye""

But the dawn is breaking, it's early morn'
The taxi's waiting, he's blowin' his horn
Already I'm so lonesome, I could die

So kiss me and smile for me
Tell me that you'll wait for me
Hold me like you'll never let me go

'Cause I'm leaving on a jet plane
Don't know when I'll be back again
Oh, babe, I hate to go

There's so many times I've let you down
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Genesis,Firth of Fifth - New Stereo Mix,41,"The path is clear
Though no eyes can see
The course laid down long before.
And so with gods and men
The sheep remain inside their pen,
Though many times they've seen the way to leave.

He rides majestic
Past homes of men
Who care not or gaze with joy,
To see reflected there
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Paul McCartney,Band On The Run - Remastered 2010,71,"Stuck inside these four walls
Sent inside forever
Never seeing no one
Nice again
Like you, mama
You, mama
You

If I ever get out of here
Thought of giving it all away
To a registered charity
All I need is a pint a day
If I ever get outta here
(If we ever get outta here)

Well, the rain exploded with a mighty crash
As we fell into the sun
And the first one said to the second one there
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Steve Harley & Cockney Rebel,Sebastian - 2012 Remaster,46,"Radiate simply, the candle is burning
So low for me
Generate me limply, I can't seem to place
Your name, cherie
To rearrange all these thoughts in a moment
Is suicide
Come to a strange place, we'll talk over old times
We never spied

Somebody called me Sebastian
Somebody called me Sebastian

Work out a rhyme, toss me the time, lay me
You're mine
And we all know, oh yeah!

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Eagles,Tequila Sunrise - 2013 Remaster,62,"It's another tequila sunrise
Starin' slowly 'cross the sky
Said goodbye

He was just a hired hand
Workin' on the dreams he planned to try
The days go by

Every night when the sun goes down
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Bob Dylan,Knockin' On Heaven's Door - Remastered,74,"Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh

Mama take this badge off of me
I can't use it anymore
It's getting dark, too dark to see
I feel I'm knockin' on heaven's door
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Elton John,Goodbye Yellow Brick Road - Remastered 2014,68,"When are you gonna come down?
When are you going to land?
I should have stayed on the farm
I should have listened to my old man
You know you can't hold me forever
I didn't sign up with you
I'm not a present for your friends to open
This boy's too young to be singing the blues

So goodbye yellow brick road
Where the dogs of society howl
You can't plant me in your penthouse
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Gladys Knight & The Pips,Midnight Train to Georgia,67,"L.A. Proved too much for the man
Too much for the man, he couldn't make it
So he's leavin' the life he's come to know uhoo
He said he's goin'
He said he's goin' back to find
Goin' back to find
Ooh, what's left of his world
The world he left behind
Not so long ago

He's leavin' (leavin')
On that midnight train to Georgia
Leavin' on the midnight train
Said he's goin' back
Goin' back to find
To a simpler place in time
Oh yes he is

And I'll be with him (I know you will)
On that midnight train to Georgia
(Leavin' on the midnight train to Georgia)
I'd rather live in his world
Than live without him in mine
That world is his, his and 'ers alone

He kept dreamin' (dreamin')
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Steve Miller Band,The Joker,75,"Some people call me the space cowboy
Yeah
Some call me the gangster of love
Some people call me Maurice
'Cause I speak of the pompatus of love

People talk about me baby
Say I'm doin' you wrong doin' you wrong
Well don't you worry baby don't worry
'Cause I'm right here right here right here right here at home

'Cause I'm a picker
I'm a grinner
I'm a lover and I'm a sinner
I play my music in the sun

I'm a joker
I'm a smoker
I'm a midnight toker
I sure don't want to hurt no one

I'm a picker
I'm a grinner
I'm a lover and I'm a sinner
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Doobie Brothers,Long Train Runnin',71,"Down around the corner, half a mile from here
See them often run, and you watch them disappear
Without love, where would you be now?
Without love

You know I saw miss Lucy down along the tracks
She lost her home and her family and she won't be coming back
Without love, where would you be right now?
Without love

Well, the Illinois Central
And the Southern Central Freight
Got to keep on pushin' mama
You know they're running late
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Jim Croce,I'll Have To Say I Love You In A Song,53,"Well, I know it's kind of late
I hope I didn't wake you
But what I gotta say can't wait
I know you'd understand

'Cause ev'ry time I tried to tell you
The words just came out wrong
So I'll have to say I love you in a song

Yeah, I know it's kind of strange
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
David Bowie,The Jean Genie - 2013 Remaster,64,"A small Jean Genie snuck off to the city
Strung out on lasers and slash back plazas
And ate all your razors while pulling the waiters
Talking 'bout Monroe and walking on snow white
New York's a go-go and everything tastes right
Poor little Greene

(Get back one)

The Jean Genie lives on his back
The Jean Genie loves chimney stacks
He's outrageous (Jean Genie)
He screams and he bawls
The Jean Genie, let yourself go, oh

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Beatles,Don't Let Me Down - Remastered 2009,68,"Don't let me down
Don't let me down
Don't let me down
Don't let me down

Nobody ever loved me like she does
Oh, she does
Yes, she does
And if somebody loved me like she do me
Oh, she do me
Yes, she does

Don't let me down
Don't let me down
Don't let me down
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Marvin Gaye,Let's Get It On,69,"I've been really tryin', baby
Tryin' to hold back this feeling for so long
And if you feel like I feel, baby
Then come on, oh, come on, woo

Let's get it on
Ah, baby, let's get it on
Let's love, baby
Let's get it on, sugar
Let's get it on, woo-hoo

We're all sensitive people
With so much to give
Understand me, sugar (ooh, ooh)
Since we got to be here
Let's live
I love you

There's nothing wrong with me
Loving you, baby, no, no
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Supertramp,School,63,"I can see you in the morning when you go to school
Don't forget your books, you know you've got to learn the golden rule
Teacher tells you stop your play and get on with your work
And be like Johnnie-Too-Good, don't you know he never shirks?
He's comin' along

After school is over, you're playing in the park
Don't be out too late, don't let it get too dark
They tell you not to hang around and learn what life's about
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queen,Killer Queen - 2011 Mix,67,"She keeps the Moët et Chandon in her pretty cabinet
""Let them eat cake"" she says, just like Marie Antoinette
A built-in remedy for Kruschev and Kennedy
At anytime, an invitation you can't decline

Caviar and cigarettes
Well versed in etiquette
Extraordinarily nice

She's a Killer Queen
Gunpowder, gelatin
Dynamite with a laser beam
Guaranteed to blow your mind (anytime)

Ooh, recommended at the price
Insatiable an appetite
Wanna try?

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Supertramp,Dreamer,59,"Dreamer, you know you are a dreamer
Well, can you put your hands in your head? Oh no
I said, ""Dreamer, you're nothing but a dreamer""
Well, can you put your hands in your head? Oh no

I said, ""Far out, what a day, a year, a life it is""
You know, well you know you had it comin' to you
Now there's not a lot I can do

Dreamer, you stupid little dreamer
So now you put your head in your hands, oh no

I said, ""Far out, what a day, a year, a life this is""
You know, well you know you had it comin' to you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
David Bowie,Rebel Rebel - 2016 Remaster,74,"You've got your mother in a whirl
She's not sure if you're a boy or a girl
Hey babe, your hair's alright
Hey babe, let's go out tonight

You like me and I like it all
We like dancing and we look divine
You love bands when they're playing hard
You want more and you want it fast

They put you down, they say I'm wrong
You tacky thing, you put them on

Rebel, rebel, you've torn your dress
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Supertramp,Crime Of The Century,43,"Now they're planning the crime of the century
Well, what will it be?
Read all about their schemes and adventuring
Yes, it's well worth a fee

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
John Denver,Thank God I'm a Country Boy,64,"Well, life on the farm is kinda laid back
Ain't much an old country boy like me can't hack
It's early to rise, early in the sack
Thank God, I'm a country boy

Well, a simple kinda life never did me no harm
A-raisin' me a family and workin' on a farm
My days are all filled with an easy country charm
Thank God, I'm a country boy

Well, I got me a fine wife, I got me old fiddle
When the sun's comin' up, I got cakes on the griddle
Life ain't nothin' but a funny, funny riddle
Thank God, I'm a country boy

When the work's all done, and the sun's settin' low
I pull out my fiddle, and I rosin up the bow
The kids are asleep, so I keep it kinda low
And thank God, I'm a country boy

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
